TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,VOLATILITY
2010-10-27,461.20,461.20,448.08,450.86,186.69,12.86
2010-10-28,451.30,463.17,448.20,453.34,479.37,29.05
2010-10-29,456.00,459.60,447.40,455.98,184.05,24.61
2010-11-01,459.60,473.20,457.01,469.84,237.32,24.77
2010-11-02,473.00,477.40,468.60,470.07,131.54,24.78
2010-11-03,472.20,474.38,470.21,472.45,83.66,23.93
2010-11-04,478.00,481.00,473.51,477.84,116.14,23.77
2010-11-05,480.00,481.40,477.00,478.68,9.41,20.44
2010-11-08,478.68,480.00,465.09,467.08,100.22,25.73
2010-11-09,468.00,481.36,466.07,479.70,162.99,24.55
2010-11-10,480.00,483.96,476.67,479.17,107.22,26.04
2010-11-11,477.02,481.88,467.25,470.66,79.75,27.14
2010-11-12,469.00,475.80,461.00,462.98,145.0,25.72
2010-11-15,463.00,478.40,462.80,477.17,269.4,25.55
2010-11-16,479.94,479.94,465.00,474.52,215.94,25.37
2010-11-18,483.80,483.80,463.75,468.07,195.44,28.1
2010-11-19,469.00,472.80,458.40,460.72,135.74,27.79
2010-11-22,464.20,478.19,461.20,475.98,129.73,30.99
2010-11-23,473.00,476.00,461.49,474.36,134.14,35.75
2010-11-24,470.80,474.78,457.99,462.28,96.4,39.09
2010-11-25,465.00,471.74,458.45,464.61,264.26,11.12
2010-11-26,465.20,468.00,455.20,459.58,174.12,25.35
2010-11-29,460.00,463.58,457.00,459.58,136.21,24.56
2010-11-30,459.40,466.81,451.70,457.08,197.71,25.4
2010-12-01,457.71,475.00,456.00,473.41,188.13,21.19
2010-12-02,475.60,480.00,470.62,478.35,175.63,20.79
2010-12-03,479.00,480.00,474.40,479.13,94.57,19.49
2010-12-06,484.00,485.00,475.05,476.65,112.54,21.38
2010-12-07,476.00,478.00,465.70,470.33,201.81,22.8
2010-12-08,468.00,468.00,453.04,456.09,268.36,25.99
2010-12-09,454.63,456.88,443.86,446.40,409.74,28.4
2010-12-10,440.00,446.45,434.06,444.47,453.67,30.74
2010-12-13,448.60,449.00,436.28,447.80,175.44,29.8
2010-12-14,449.40,455.18,442.40,447.65,132.66,30.11
2010-12-15,446.00,446.00,430.00,432.58,245.38,30.76
2010-12-16,432.60,443.92,430.00,440.16,212.78,30.58
2010-12-20,439.96,439.96,430.29,434.50,112.16,30.01
2010-12-21,434.60,443.81,434.38,442.82,136.28,29.83
2010-12-22,446.60,448.00,434.01,435.76,165.37,26.83
2010-12-23,436.00,440.80,434.79,438.19,71.52,27.52
2010-12-24,437.80,444.95,435.00,443.68,77.47,25.88
2010-12-27,443.80,446.00,439.42,442.74,83.38,28.23
2010-12-28,444.78,453.74,443.03,451.23,104.79,32.58
2010-12-29,451.20,467.36,450.71,465.56,186.31,32.66
2010-12-30,467.24,468.68,457.61,461.10,167.27,22.81
2010-12-31,461.00,473.00,458.41,469.27,193.7,21.49
2011-01-03,474.00,479.93,470.08,478.10,128.78,20.85
2011-01-04,477.30,477.60,466.60,469.11,195.09,23.82
2011-01-05,469.94,469.94,459.50,461.64,181.08,25.21
2011-01-06,463.20,468.53,461.80,465.55,126.31,25.63
2011-01-07,465.24,465.24,452.20,453.89,181.15,27.32
2011-01-10,451.21,454.00,427.60,430.45,437.52,34.4
2011-01-11,434.00,443.74,425.00,429.32,262.73,33.94
2011-01-12,433.80,442.80,421.32,441.06,213.98,32.34
2011-01-13,441.80,443.48,425.28,428.60,204.62,34.26
2011-01-14,430.00,441.60,406.00,409.91,270.52,36.94
2011-01-17,412.00,418.60,410.11,413.62,254.2,38.96
2011-01-18,417.36,423.20,409.33,421.87,175.82,34.57
2011-01-19,422.33,422.81,412.60,415.09,187.19,36.6
2011-01-20,413.85,426.88,409.18,423.51,200.97,36.38
2011-01-21,420.80,424.94,415.22,418.83,173.96,34.46
2011-01-24,419.00,430.80,414.60,429.72,269.95,39.33
2011-01-25,430.24,434.97,414.02,416.86,298.84,37.72
2011-01-27,420.00,420.00,408.20,410.18,393.3,28.93
2011-01-28,411.00,417.87,408.41,410.85,367.42,29.3
2011-01-31,408.54,412.69,399.24,409.46,225.02,28.17
2011-02-01,415.38,415.38,403.02,407.92,174.38,28.74
2011-02-02,410.30,412.70,401.24,403.98,198.45,27.41
2011-02-03,404.00,414.35,402.00,412.19,118.79,25.74
2011-02-04,410.20,417.00,401.00,403.55,189.23,24.97
2011-02-07,409.00,412.00,404.04,407.77,175.49,27.27
2011-02-08,411.98,411.99,397.02,400.57,144.8,27.55
2011-02-09,399.60,407.00,396.28,404.46,148.13,27.57
2011-02-10,403.20,409.80,400.00,403.17,233.72,29.42
2011-02-11,399.00,412.00,399.00,411.86,206.33,27.51
2011-02-14,410.03,422.04,410.03,421.09,123.77,25.42
2011-02-15,422.00,425.60,415.06,421.40,160.09,24.9
2011-02-16,422.80,424.40,417.01,418.97,95.41,26.19
2011-02-17,420.00,438.80,419.00,437.12,255.35,19.79
2011-02-18,436.80,448.62,433.05,435.22,437.18,28.05
2011-02-21,433.00,441.60,426.50,440.34,121.29,29.4
2011-02-22,438.00,438.34,425.08,427.69,124.7,38.81
2011-02-23,425.04,430.60,420.04,422.82,130.33,37.68
2011-02-24,417.40,423.71,409.15,411.82,208.26,24.6
2011-02-25,417.40,417.40,403.60,408.43,129.59,32.64
2011-02-28,412.80,424.19,407.00,410.45,226.78,30.87
2011-03-01,414.96,430.00,411.80,427.80,217.77,27.96
2011-03-03,426.98,444.46,426.01,438.63,276.76,29.48
2011-03-04,442.00,446.58,441.30,443.65,218.88,27.57
2011-03-07,440.80,440.80,430.18,434.63,139.53,35.71
2011-03-08,431.60,443.70,431.30,441.30,197.84,34.39
2011-03-09,442.00,447.74,439.00,441.21,199.51,34.14
2011-03-10,438.40,443.00,436.47,441.68,164.47,29.94
2011-03-11,436.41,443.40,435.00,437.27,143.61,31.7
2011-03-14,434.40,443.80,434.40,442.95,144.23,33.64
2011-03-15,434.00,441.54,426.00,436.93,299.65,35.65
2011-03-16,439.20,441.00,435.72,436.75,127.35,30.84
2011-03-17,434.04,446.60,433.23,436.30,370.07,32.97
2011-03-18,436.00,439.24,428.42,429.86,104.12,33.74
2011-03-21,434.04,435.74,429.29,430.89,133.0,34.2
2011-03-22,431.82,434.60,428.41,430.32,101.74,29.02
2011-03-23,430.00,436.38,429.01,432.84,100.94,27.35
2011-03-24,435.80,439.78,433.70,438.56,96.4,26.02
2011-03-25,441.40,455.00,440.00,453.01,199.42,27.14
2011-03-28,453.00,462.40,453.00,459.35,250.87,34.92
2011-03-29,462.00,464.76,456.93,461.03,249.89,40.77
2011-03-30,463.00,472.80,461.20,468.30,259.64,44.53
2011-03-31,470.00,479.18,461.02,469.17,445.13,26.57
2011-04-01,470.60,473.00,464.60,466.75,102.01,24.53
2011-04-04,468.00,481.00,468.00,480.16,150.92,23.72
2011-04-05,480.00,481.99,473.63,479.15,201.06,25.24
2011-04-06,478.20,479.00,470.20,475.19,153.48,24.31
2011-04-07,475.00,475.60,467.92,470.95,154.3,23.43
2011-04-08,470.80,477.00,469.02,470.48,182.4,23.07
2011-04-11,465.04,467.51,457.72,459.21,257.69,25.09
2011-04-13,455.89,476.73,455.00,473.79,210.71,23.86
2011-04-15,475.00,478.40,468.80,472.62,203.28,31.27
2011-04-18,475.76,479.97,460.87,462.36,242.93,38.5
2011-04-19,468.00,471.76,464.89,469.50,175.13,33.29
2011-04-20,472.11,477.80,469.60,474.39,154.75,29.8
2011-04-21,476.40,483.38,476.40,482.13,389.84,22.72
2011-04-25,484.60,488.21,477.20,478.20,152.12,27.68
2011-04-26,477.31,479.57,468.10,471.97,149.09,30.47
2011-04-27,475.20,475.80,465.26,470.65,168.17,32.37
2011-04-28,472.63,473.80,466.00,467.55,313.58,25.18
2011-04-29,465.00,467.94,456.20,459.11,213.93,22.3
2011-05-02,461.20,463.14,452.40,458.03,161.19,22.51
2011-05-03,457.71,459.13,444.44,447.13,242.41,24.11
2011-05-04,448.80,457.03,441.56,452.29,298.15,20.19
2011-05-05,451.17,454.96,442.00,444.09,208.62,22.72
2011-05-06,445.00,464.00,445.00,459.45,244.94,19.88
2011-05-09,460.40,463.00,449.68,455.77,88.79,23.12
2011-05-10,455.60,455.60,445.02,449.28,146.95,22.75
2011-05-11,452.00,453.78,444.20,452.21,110.24,22.22
2011-05-12,450.00,452.98,447.00,448.04,106.4,21.99
2011-05-13,446.40,458.00,445.17,450.21,131.85,21.82
2011-05-16,449.00,453.22,447.26,450.61,141.34,29.39
2011-05-17,450.40,454.79,448.20,450.49,138.01,23.98
2011-05-18,451.62,455.54,448.60,453.47,156.96,23.07
2011-05-19,454.10,456.80,451.54,454.76,170.96,23.94
2011-05-20,454.00,464.00,451.08,463.14,273.71,16.41
2011-05-23,459.00,459.76,449.19,452.94,227.59,23.58
2011-05-24,450.80,458.50,449.64,451.06,102.35,25.36
2011-05-25,450.00,453.40,449.07,450.95,93.77,28.27